อำเภอ,ชื่อสถานีลูกข่าย,Type,ความคืบหน้าฐานราก (%),งานติดตั้งเสา (%),lat,lon
ห้วยกระเจา,หมู่ 2 วังมะค่า,C,95,25,14.358156,99.663729
ห้วยกระเจา,หมู่ 4 วังไผ่,B,95,25,14.361925,99.689
ห้วยกระเจา,หมู่ 3 นาตามิ่ง,B,95,25,14.376531,99.675022
ห้วยกระเจา,หมู่ 6 หนองตายอด,C,95,25,14.373447,99.644687
ห้วยกระเจา,หมู่ 9 บ่อทอง,C,95,25,14.408834,99.644617
ห้วยกระเจา,หมู่ 10 หนองโก,C,85,0,14.39692,99.66664
ห้วยกระเจา,หมู่ 6 ห้วยลึก,C,85,0,14.391364,99.746643
ห้วยกระเจา,หมู่ 9 ดงรัง,B,85,0,14.376645,99.738811
ห้วยกระเจา,หมู่ 12 กรอกตาโพธิ์,B,85,0,14.374583,99.736028
ห้วยกระเจา,หมู่ 13 หนองปลอดภัย,C,85,0,14.365303,99.727408
ห้วยกระเจา,หมู่ 7 หนองเจริญสุข,B,85,0,14.365251,99.716418
ห้วยกระเจา,AGW ห้วยกระเจา,60,0,0,14.326589,99.667238
ห้วยกระเจา,หมู่ 1 หนองมะเขือ,-,0,0,14.359956,99.67207
ห้วยกระเจา,หมู่ 11 วังสมบูรณ์,-,0,0,14.379446,99.647717
ห้วยกระเจา,หมู่ 5 นาใหม่,-,0,0,14.391267,99.692071
ห้วยกระเจา,หมู่ 7 หนองมะสังข์,-,0,0,14.376795,99.65356
เลาขวัญ,หมู่ 3 ตลุงเหนือ,B,85,0,14.42194,99.727545
เลาขวัญ,หมู่ 9 เหียงงาม,C,85,0,14.405996,99.741984
เลาขวัญ,หมู่ 5 หนองปรือ,C,60,0,14.435006,99.735956
เลาขวัญ,หมู่ 11 หนองตาเกิด,B,60,0,14.448948,99.723167
เลาขวัญ,หมู่ 6 น้ำโจน,C,60,0,14.481615,99.745157
เลาขวัญ,หมู่ 8 ชัฎดงพลับ,C,40,0,14.625292,99.652235
เลาขวัญ,หมู่ 13 หนองจิกน้ำดำ,C,40,0,14.601033,99.615861
เลาขวัญ,หมู่ 6 สี่กั๊ก,C,40,0,14.588587,99.638117
เลาขวัญ,หมู่ 7 หนองปลิง,C,40,0,14.567454,99.634531
เลาขวัญ,หมู่ 4 หนองจั่น,C,40,0,14.532685,99.649881
เลาขวัญ,หมู่ 9 หนองข่อย,C,40,0,14.51521,99.633163
เลาขวัญ,หมู่ 2 หนองเค็ด,-,0,0,14.477975,99.653895
เลาขวัญ,หมู่ 5 หนองขบ,-,0,0,14.494988,99.673001
เลาขวัญ,หมู่ 10 หนองมะสังข์,-,0,0,14.486867,99.695016
เลาขวัญ,หมู่ 8 หนองแกแดง,-,0,0,14.446396,99.667616
เลาขวัญ,BS หนองนกแก้ว,ุ60,,0,14.514783,99.709059
